epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,155.773,0.60401,0.87046,0.7343,0.97388,0,0.80681,0.83502,0.8154,0.67122,0.77807,0.80241,0.76387,0.51441,0.63502,2.03991,1.42619,0.98836,0,0.000664694,0.000664694,0.06743
2,308.572,0.62058,0.8136,0.57726,0.97646,0,0.82517,0.7199,0.81631,0.66618,0.81965,0.71297,0.79294,0.5862,0.66561,1.80114,0.94341,1.00542,0,0.00132038,0.00132038,0.0347523
3,457.551,0.57506,0.72217,0.52721,0.95929,0,0.86698,0.86535,0.89668,0.79192,0.86363,0.85907,0.88725,0.74612,0.48231,1.09031,0.53785,0.9092,0,0.00196506,0.00196506,0.00206368
4,604.636,0.5098,0.62282,0.46908,0.92953,0,0.92128,0.91275,0.9379,0.85303,0.92432,0.92101,0.94424,0.83457,0.40661,0.44039,0.41679,0.86785,0,0.0019505,0.0019505,0.0019505
5,751.573,0.47545,0.57293,0.44209,0.9153,0,0.92509,0.90328,0.93793,0.85646,0.92969,0.90821,0.94317,0.83831,0.40194,0.49514,0.42144,0.85977,0,0.001934,0.001934,0.001934
6,898.611,0.45931,0.55061,0.42861,0.90818,0,0.90568,0.90452,0.93546,0.85051,0.90543,0.90617,0.93432,0.79509,0.4092,0.75467,0.43384,0.87011,0,0.0019175,0.0019175,0.0019175
7,1045.1,0.44397,0.52879,0.41761,0.90226,0,0.9216,0.90958,0.93982,0.85663,0.92578,0.91598,0.94522,0.82778,0.40338,0.50236,0.40455,0.85614,0,0.001901,0.001901,0.001901
8,1192.66,0.43147,0.51381,0.40633,0.89549,0,0.90612,0.81109,0.89636,0.81689,0.90808,0.8129,0.89963,0.77626,0.4052,0.65276,0.59581,0.86322,0,0.0018845,0.0018845,0.0018845
9,1340.05,0.41801,0.49598,0.39603,0.89154,0,0.91171,0.88489,0.93058,0.85805,0.91413,0.88989,0.93428,0.82735,0.3707,0.50072,0.42711,0.84954,0,0.001868,0.001868,0.001868
10,1486.54,0.40966,0.48705,0.3922,0.88822,0,0.93642,0.93918,0.95352,0.89783,0.94015,0.94293,0.95676,0.87064,0.31376,0.33036,0.32824,0.82617,0,0.0018515,0.0018515,0.0018515
11,1633.32,0.40201,0.47963,0.38793,0.88343,0,0.93102,0.93654,0.9512,0.89106,0.93466,0.94148,0.95469,0.86415,0.32861,0.34035,0.34606,0.84021,0,0.001835,0.001835,0.001835
12,1779.87,0.39182,0.46699,0.38064,0.87967,0,0.93447,0.93311,0.95283,0.90028,0.93501,0.94101,0.95588,0.87241,0.30502,0.31425,0.32946,0.82209,0,0.0018185,0.0018185,0.0018185
13,1926.54,0.38772,0.45846,0.37417,0.87797,0,0.9042,0.91025,0.93897,0.88017,0.90665,0.91741,0.94262,0.85213,0.33227,0.39849,0.39368,0.83214,0,0.001802,0.001802,0.001802
14,2073.27,0.38239,0.45258,0.3727,0.87582,0,0.93393,0.93514,0.95149,0.89769,0.93809,0.93994,0.95569,0.87208,0.31247,0.33911,0.33391,0.82206,0,0.0017855,0.0017855,0.0017855
15,2219.91,0.37326,0.44406,0.36661,0.8718,0,0.93023,0.9338,0.95328,0.90253,0.93423,0.93786,0.95666,0.87092,0.29733,0.32792,0.32337,0.82165,0,0.001769,0.001769,0.001769
16,2366.58,0.37125,0.43817,0.36049,0.87038,0,0.93309,0.94358,0.95478,0.90849,0.93637,0.94833,0.95768,0.8776,0.28757,0.30039,0.31447,0.81674,0,0.0017525,0.0017525,0.0017525
17,2513.4,0.36496,0.43263,0.35774,0.86734,0,0.93673,0.93683,0.95364,0.90488,0.94013,0.94068,0.95694,0.87246,0.29288,0.31501,0.31345,0.82005,0,0.001736,0.001736,0.001736
18,2659.66,0.36132,0.43123,0.35453,0.86592,0,0.93578,0.93403,0.95547,0.90449,0.93975,0.94028,0.95975,0.87483,0.29028,0.32578,0.31368,0.81884,0,0.0017195,0.0017195,0.0017195
19,2806.29,0.35794,0.42397,0.35405,0.86366,0,0.93623,0.94346,0.95831,0.91358,0.93927,0.94692,0.96088,0.88037,0.27461,0.29699,0.30976,0.80696,0,0.001703,0.001703,0.001703
20,2953.04,0.35453,0.42001,0.35139,0.86157,0,0.93693,0.92783,0.95611,0.90961,0.93867,0.93281,0.95904,0.87569,0.27775,0.321,0.31933,0.81068,0,0.0016865,0.0016865,0.0016865
21,3099.37,0.34904,0.41368,0.34612,0.85968,0,0.93664,0.9238,0.95376,0.9071,0.93954,0.92933,0.95761,0.87067,0.28275,0.33751,0.32118,0.80889,0,0.00167,0.00167,0.00167
22,3245.86,0.3454,0.40752,0.34471,0.85923,0,0.93233,0.94292,0.95809,0.91667,0.9358,0.94698,0.96108,0.88159,0.26907,0.29486,0.30112,0.80935,0,0.0016535,0.0016535,0.0016535
23,3392.57,0.34614,0.4069,0.34509,0.85764,0,0.93718,0.94415,0.95946,0.9201,0.94065,0.948,0.96291,0.88582,0.26065,0.27628,0.29772,0.80043,0,0.001637,0.001637,0.001637
24,3539.53,0.34315,0.40345,0.34081,0.85742,0,0.93366,0.94423,0.95924,0.91832,0.93715,0.94924,0.96179,0.88435,0.26227,0.28611,0.29741,0.80422,0,0.0016205,0.0016205,0.0016205
25,3685.63,0.33662,0.39804,0.3374,0.85507,0,0.93605,0.94237,0.95929,0.92127,0.93759,0.94857,0.96181,0.887,0.25077,0.27336,0.28968,0.79706,0,0.001604,0.001604,0.001604
26,3832.5,0.33516,0.39693,0.33445,0.85431,0,0.93535,0.94535,0.96104,0.92341,0.93883,0.94866,0.96327,0.88753,0.25323,0.26754,0.28745,0.79966,0,0.0015875,0.0015875,0.0015875
27,3979.23,0.3323,0.39193,0.33256,0.85413,0,0.93942,0.94297,0.95996,0.9222,0.94267,0.9466,0.96286,0.8861,0.25076,0.26649,0.28963,0.8031,0,0.001571,0.001571,0.001571
28,4125.69,0.33108,0.38935,0.32993,0.85248,0,0.93989,0.94313,0.96002,0.92303,0.94285,0.94739,0.96205,0.8866,0.24932,0.26371,0.28736,0.79722,0,0.0015545,0.0015545,0.0015545
29,4272.06,0.32794,0.38533,0.3293,0.85087,0,0.94082,0.94462,0.96044,0.92408,0.94371,0.94834,0.96331,0.88695,0.24533,0.25925,0.28574,0.80137,0,0.001538,0.001538,0.001538
