epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,4419.09,0.32476,0.38287,0.32744,0.84894,0,0.94163,0.94127,0.96007,0.92373,0.94522,0.94484,0.96276,0.88923,0.24557,0.26094,0.28326,0.79796,0,0.0015215,0.0015215,0.0015215
31,4565.84,0.32318,0.3794,0.32475,0.84909,0,0.93917,0.94542,0.961,0.92623,0.9415,0.94986,0.96297,0.8886,0.23778,0.25816,0.28063,0.79188,0,0.001505,0.001505,0.001505
32,4712.68,0.3189,0.37311,0.32042,0.84714,0,0.94052,0.94271,0.96013,0.92554,0.94136,0.94827,0.96287,0.88837,0.23846,0.2521,0.27597,0.79408,0,0.0014885,0.0014885,0.0014885
33,4858.9,0.31754,0.37352,0.32092,0.84659,0,0.93945,0.94278,0.96138,0.9269,0.94269,0.94619,0.96379,0.8899,0.23671,0.25899,0.27892,0.79527,0,0.001472,0.001472,0.001472
34,5005.78,0.31468,0.37045,0.32005,0.84534,0,0.9433,0.94256,0.96022,0.92671,0.94557,0.94791,0.963,0.88974,0.23338,0.2527,0.2776,0.78966,0,0.0014555,0.0014555,0.0014555
35,5151.86,0.30988,0.36543,0.31502,0.84269,0,0.93926,0.9446,0.96007,0.92615,0.9423,0.94848,0.96232,0.89127,0.2329,0.25079,0.27319,0.79015,0,0.001439,0.001439,0.001439
36,5298.79,0.31071,0.36468,0.31089,0.84343,0,0.936,0.94952,0.96048,0.92809,0.93896,0.95281,0.96242,0.89126,0.22832,0.25106,0.27075,0.78955,0,0.0014225,0.0014225,0.0014225
37,5445.54,0.30907,0.36596,0.31271,0.84137,0,0.93894,0.94558,0.96172,0.92858,0.94272,0.94903,0.96424,0.8928,0.22923,0.24802,0.26935,0.79354,0,0.001406,0.001406,0.001406
38,5591.98,0.30696,0.36156,0.30889,0.8427,0,0.94241,0.94174,0.96131,0.92892,0.94545,0.94543,0.96343,0.89099,0.22907,0.24931,0.2686,0.79056,0,0.0013895,0.0013895,0.0013895
39,5738.28,0.30531,0.36003,0.30714,0.84054,0,0.94132,0.94433,0.96167,0.9304,0.94414,0.94779,0.96391,0.89271,0.22377,0.24835,0.26722,0.78985,0,0.001373,0.001373,0.001373
40,5885.25,0.30094,0.35461,0.30501,0.83846,0,0.93974,0.94507,0.96243,0.93072,0.94277,0.9483,0.96518,0.89326,0.22322,0.24692,0.26829,0.78797,0,0.0013565,0.0013565,0.0013565
41,6032.08,0.30022,0.35611,0.30382,0.83901,0,0.93828,0.94424,0.9601,0.92894,0.94074,0.94993,0.96286,0.89085,0.22268,0.24789,0.26768,0.79158,0,0.00134,0.00134,0.00134
42,6178.31,0.29828,0.3479,0.3008,0.83849,0,0.94333,0.94346,0.96188,0.92966,0.94542,0.94762,0.9637,0.89274,0.22275,0.24084,0.26229,0.79143,0,0.0013235,0.0013235,0.0013235
43,6324.53,0.29854,0.34964,0.29973,0.83791,0,0.94261,0.94292,0.96137,0.93116,0.9449,0.94786,0.96344,0.89245,0.22106,0.2418,0.26337,0.79056,0,0.001307,0.001307,0.001307
44,6471.03,0.29585,0.34903,0.29865,0.83792,0,0.94014,0.94615,0.96211,0.9308,0.94066,0.95141,0.96491,0.89495,0.2204,0.24049,0.26328,0.7885,0,0.0012905,0.0012905,0.0012905
45,6617.64,0.29516,0.34749,0.29573,0.8361,0,0.93724,0.94818,0.96352,0.93292,0.93946,0.95141,0.96528,0.89471,0.21756,0.2433,0.26165,0.78751,0,0.001274,0.001274,0.001274
46,6764.23,0.2931,0.34375,0.29482,0.8363,0,0.94212,0.94313,0.96199,0.93185,0.94308,0.94903,0.96419,0.89308,0.21718,0.24193,0.25953,0.78855,0,0.0012575,0.0012575,0.0012575
47,6910.41,0.29015,0.34156,0.29333,0.83396,0,0.94114,0.94456,0.96325,0.93331,0.94495,0.94749,0.96521,0.89522,0.21374,0.23812,0.25722,0.7875,0,0.001241,0.001241,0.001241
48,7056.94,0.28783,0.34039,0.29063,0.83469,0,0.93998,0.94635,0.96272,0.93231,0.94266,0.95144,0.96475,0.89453,0.21385,0.24357,0.25514,0.78734,0,0.0012245,0.0012245,0.0012245
49,7203.2,0.28792,0.33545,0.28728,0.83382,0,0.93972,0.94775,0.96249,0.9338,0.94311,0.95097,0.96501,0.89484,0.21215,0.24219,0.25469,0.78665,0,0.001208,0.001208,0.001208
50,7349.99,0.28537,0.33596,0.28538,0.83268,0,0.94042,0.9447,0.96312,0.93456,0.94005,0.95077,0.96512,0.89568,0.21195,0.23968,0.25633,0.78347,0,0.0011915,0.0011915,0.0011915
51,7496.51,0.28363,0.33419,0.28635,0.83193,0,0.94413,0.94254,0.9624,0.93403,0.94568,0.94642,0.96399,0.89588,0.20945,0.24362,0.2542,0.78419,0,0.001175,0.001175,0.001175
52,7642.65,0.28273,0.3347,0.28469,0.832,0,0.94172,0.94716,0.96369,0.936,0.94457,0.95002,0.96535,0.89683,0.20589,0.23781,0.25249,0.78338,0,0.0011585,0.0011585,0.0011585
53,7789.28,0.28086,0.32897,0.28221,0.8312,0,0.94541,0.94532,0.96321,0.93576,0.94787,0.94872,0.96442,0.8956,0.20628,0.23785,0.24996,0.7845,0,0.001142,0.001142,0.001142
54,7935.54,0.27864,0.32915,0.28044,0.83014,0,0.94564,0.94486,0.96372,0.93516,0.94721,0.94811,0.96403,0.8956,0.2067,0.23714,0.25022,0.78183,0,0.0011255,0.0011255,0.0011255
55,8081.7,0.27688,0.32647,0.28012,0.82865,0,0.94262,0.94386,0.96281,0.93507,0.945,0.94758,0.96463,0.89628,0.20761,0.23598,0.24929,0.78376,0,0.001109,0.001109,0.001109
56,8228.71,0.27728,0.32627,0.27563,0.82938,0,0.94139,0.94453,0.96348,0.9347,0.94489,0.94768,0.96498,0.89802,0.20742,0.23596,0.24995,0.78625,0,0.0010925,0.0010925,0.0010925
57,8375.02,0.27411,0.32612,0.2769,0.82841,0,0.94047,0.94463,0.96267,0.93425,0.94372,0.94789,0.96472,0.89682,0.20503,0.23347,0.24916,0.78496,0,0.001076,0.001076,0.001076
58,8521.28,0.27216,0.3208,0.27305,0.82757,0,0.93905,0.94581,0.96228,0.9343,0.94122,0.94991,0.96444,0.89662,0.20493,0.23622,0.24933,0.78567,0,0.0010595,0.0010595,0.0010595
59,8667.58,0.27169,0.32136,0.27175,0.82625,0,0.94064,0.94648,0.96288,0.9354,0.94375,0.94941,0.96515,0.89714,0.20495,0.23362,0.24668,0.7847,0,0.001043,0.001043,0.001043
60,8813.66,0.27065,0.32338,0.26989,0.82603,0,0.94051,0.9469,0.96333,0.93581,0.94333,0.94975,0.96595,0.89835,0.2049,0.23507,0.24661,0.7835,0,0.0010265,0.0010265,0.0010265
61,8960.39,0.26863,0.31884,0.26942,0.82633,0,0.94223,0.94412,0.9626,0.93545,0.94514,0.94688,0.96474,0.89686,0.20206,0.23405,0.24565,0.78399,0,0.00101,0.00101,0.00101
62,9107.41,0.26776,0.31624,0.26858,0.8253,0,0.94019,0.94629,0.96216,0.93524,0.94414,0.94887,0.96443,0.89664,0.20215,0.23441,0.24671,0.78393,0,0.0009935,0.0009935,0.0009935
63,9253.84,0.26735,0.3138,0.26584,0.82595,0,0.93978,0.94439,0.96154,0.93469,0.94342,0.9468,0.9637,0.89619,0.20246,0.23526,0.24813,0.78469,0,0.000977,0.000977,0.000977
64,9400.43,0.26445,0.30972,0.26387,0.82387,0,0.94013,0.94368,0.96192,0.93534,0.94317,0.94674,0.9642,0.89634,0.20086,0.23563,0.24733,0.78428,0,0.0009605,0.0009605,0.0009605
65,9546.7,0.26228,0.3129,0.26322,0.82378,0,0.94099,0.94297,0.96212,0.93525,0.94415,0.94646,0.96451,0.89691,0.20091,0.23794,0.24869,0.78342,0,0.000944,0.000944,0.000944
66,9693.11,0.26432,0.31268,0.26399,0.82418,0,0.94166,0.94216,0.96219,0.9352,0.94443,0.94593,0.96439,0.89706,0.2003,0.23512,0.24819,0.7835,0,0.0009275,0.0009275,0.0009275
67,9839.04,0.26248,0.31202,0.26207,0.82405,0,0.93944,0.94402,0.96259,0.93566,0.94284,0.94722,0.96464,0.89668,0.20047,0.23481,0.24748,0.78507,0,0.000911,0.000911,0.000911
68,9985.49,0.26023,0.30837,0.26079,0.82237,0,0.93798,0.94675,0.96196,0.93505,0.94229,0.94812,0.96417,0.89614,0.20049,0.23404,0.24656,0.78492,0,0.0008945,0.0008945,0.0008945
69,10131.9,0.2595,0.30791,0.25558,0.82179,0,0.935,0.94829,0.96163,0.9343,0.94081,0.94972,0.96403,0.89663,0.20041,0.23346,0.24647,0.78499,0,0.000878,0.000878,0.000878
70,10278.5,0.25794,0.30708,0.25618,0.82206,0,0.93339,0.94925,0.96134,0.9341,0.93856,0.95035,0.96381,0.89649,0.20058,0.23256,0.24585,0.78501,0,0.0008615,0.0008615,0.0008615
71,10425.4,0.25565,0.30117,0.25381,0.82081,0,0.9357,0.94629,0.96111,0.9342,0.93907,0.94977,0.9637,0.89628,0.19994,0.2334,0.24598,0.78435,0,0.000845,0.000845,0.000845
72,10572,0.25603,0.30261,0.25197,0.81985,0,0.93843,0.94321,0.96086,0.93396,0.94176,0.94654,0.96349,0.89611,0.1997,0.23374,0.24624,0.78371,0,0.0008285,0.0008285,0.0008285
73,10718.2,0.25385,0.30064,0.25139,0.81946,0,0.93819,0.94464,0.96032,0.93361,0.94173,0.94795,0.9629,0.89581,0.19968,0.23314,0.24648,0.7842,0,0.000812,0.000812,0.000812
74,10864.7,0.25306,0.29883,0.25076,0.81988,0,0.93723,0.94622,0.96037,0.93383,0.94146,0.94919,0.96229,0.89549,0.19845,0.23521,0.24656,0.78361,0,0.0007955,0.0007955,0.0007955
75,11011.1,0.2521,0.29963,0.25081,0.8199,0,0.93929,0.94482,0.96061,0.9339,0.94319,0.94641,0.96296,0.89578,0.19827,0.23662,0.2457,0.78407,0,0.000779,0.000779,0.000779
76,11157.8,0.25227,0.29775,0.24841,0.81911,0,0.9356,0.94764,0.96095,0.93417,0.94319,0.94625,0.96259,0.89547,0.19786,0.2351,0.24509,0.78392,0,0.0007625,0.0007625,0.0007625
77,11304,0.25041,0.29706,0.24757,0.81914,0,0.9382,0.94472,0.96123,0.93431,0.94157,0.94774,0.96324,0.89587,0.19686,0.23536,0.24413,0.78336,0,0.000746,0.000746,0.000746
78,11450.1,0.24806,0.29502,0.24567,0.81823,0,0.94217,0.94094,0.96106,0.934,0.94523,0.94422,0.96294,0.89557,0.19589,0.23517,0.24366,0.78248,0,0.0007295,0.0007295,0.0007295
79,11596.2,0.24937,0.29602,0.2462,0.81888,0,0.94054,0.94259,0.96109,0.93446,0.9437,0.94575,0.96366,0.89627,0.19577,0.23485,0.24285,0.78256,0,0.000713,0.000713,0.000713
80,11742.4,0.24642,0.29284,0.24148,0.81767,0,0.9384,0.9445,0.96113,0.93491,0.94295,0.9459,0.96368,0.89661,0.19544,0.23493,0.24321,0.78252,0,0.0006965,0.0006965,0.0006965
81,11891.2,0.24574,0.29052,0.24097,0.81704,0,0.93875,0.94451,0.9608,0.93474,0.94212,0.94777,0.96372,0.89676,0.19499,0.2355,0.24297,0.78245,0,0.00068,0.00068,0.00068
82,12039.8,0.24501,0.29114,0.24034,0.81752,0,0.94024,0.94331,0.96106,0.93517,0.94379,0.94657,0.96371,0.89679,0.19418,0.23478,0.2431,0.78184,0,0.0006635,0.0006635,0.0006635
83,12188.2,0.24446,0.2892,0.23858,0.81674,0,0.94096,0.9427,0.96104,0.93505,0.94409,0.94602,0.9631,0.8966,0.19411,0.23502,0.24337,0.78228,0,0.000647,0.000647,0.000647
84,12336.7,0.24341,0.28957,0.23768,0.81578,0,0.94098,0.94399,0.96081,0.93503,0.94422,0.94723,0.96291,0.89639,0.19392,0.23647,0.24344,0.78234,0,0.0006305,0.0006305,0.0006305
85,12485.2,0.24231,0.2876,0.23653,0.81597,0,0.93972,0.94494,0.96077,0.93516,0.94291,0.94806,0.96279,0.89642,0.19406,0.2349,0.24281,0.78254,0,0.000614,0.000614,0.000614
86,12633.9,0.24141,0.28873,0.23651,0.8146,0,0.9409,0.94449,0.96081,0.93548,0.944,0.94748,0.9628,0.89632,0.19346,0.23483,0.24211,0.782,0,0.0005975,0.0005975,0.0005975
87,12782.5,0.24059,0.28642,0.2327,0.81518,0,0.94136,0.94421,0.96101,0.93524,0.94437,0.94731,0.96289,0.89653,0.19329,0.23472,0.24138,0.78194,0,0.000581,0.000581,0.000581
88,12930.9,0.23647,0.28213,0.23112,0.81494,0,0.94072,0.94474,0.961,0.93509,0.9439,0.9478,0.96256,0.89656,0.19297,0.23582,0.24116,0.78195,0,0.0005645,0.0005645,0.0005645
89,13079.2,0.23768,0.28271,0.2303,0.81449,0,0.94128,0.94414,0.96101,0.93508,0.94407,0.94731,0.96238,0.89676,0.19272,0.23505,0.24073,0.78223,0,0.000548,0.000548,0.000548
90,13225.7,0.23722,0.28257,0.23063,0.81425,0,0.94105,0.94424,0.96103,0.93509,0.94376,0.94746,0.96236,0.89692,0.19232,0.23458,0.24011,0.78201,0,0.0005315,0.0005315,0.0005315
91,13372.2,0.23572,0.2803,0.22809,0.8142,0,0.94028,0.94515,0.96105,0.9353,0.94281,0.94818,0.96266,0.8969,0.19227,0.23445,0.24004,0.78244,0,0.000515,0.000515,0.000515
92,13518.4,0.2362,0.28128,0.2279,0.81438,0,0.94079,0.94443,0.961,0.93518,0.94356,0.94721,0.96264,0.89691,0.19223,0.23426,0.23976,0.78251,0,0.0004985,0.0004985,0.0004985
93,13665.1,0.23356,0.27833,0.22661,0.81318,0,0.93969,0.94624,0.96093,0.93522,0.94206,0.94926,0.96261,0.89701,0.19181,0.2336,0.23991,0.78223,0,0.000482,0.000482,0.000482
94,13811.8,0.23306,0.27827,0.22557,0.81289,0,0.93941,0.94597,0.96096,0.9349,0.94221,0.94895,0.96266,0.89699,0.1917,0.23364,0.23973,0.78236,0,0.0004655,0.0004655,0.0004655
95,13958.5,0.23249,0.27655,0.22245,0.81291,0,0.93991,0.94579,0.96064,0.93489,0.94282,0.94861,0.96233,0.89685,0.19135,0.23375,0.23931,0.78231,0,0.000449,0.000449,0.000449
96,14105,0.23135,0.2745,0.22355,0.81226,0,0.93977,0.94602,0.96014,0.93477,0.94234,0.94927,0.96222,0.89671,0.19129,0.23417,0.23908,0.7823,0,0.0004325,0.0004325,0.0004325
97,14251.6,0.23038,0.27645,0.22203,0.81228,0,0.93912,0.94626,0.96017,0.93507,0.94192,0.94924,0.96253,0.89656,0.19111,0.23351,0.23885,0.78228,0,0.000416,0.000416,0.000416
98,14398.1,0.22845,0.27398,0.21954,0.81152,0,0.9387,0.94653,0.96015,0.93501,0.9438,0.94741,0.96254,0.89664,0.19111,0.23438,0.23875,0.78244,0,0.0003995,0.0003995,0.0003995
99,14544.7,0.22553,0.26723,0.21916,0.81066,0,0.93832,0.94673,0.96024,0.935,0.94019,0.95131,0.96229,0.89656,0.19115,0.23473,0.23852,0.78281,0,0.000383,0.000383,0.000383
100,14691.1,0.22226,0.26437,0.21794,0.81112,0,0.93969,0.94548,0.96022,0.93541,0.94311,0.94826,0.96226,0.89707,0.19085,0.23394,0.2383,0.78273,0,0.0003665,0.0003665,0.0003665
101,14837.5,0.22198,0.26113,0.21761,0.81107,0,0.94121,0.94443,0.96012,0.93518,0.94428,0.94722,0.96221,0.89699,0.19058,0.23381,0.23821,0.78262,0,0.00035,0.00035,0.00035
102,14984,0.22132,0.25999,0.21626,0.81081,0,0.94096,0.94413,0.96008,0.93512,0.94402,0.94708,0.96216,0.89692,0.19035,0.23377,0.23838,0.78269,0,0.0003335,0.0003335,0.0003335
103,15130.7,0.2187,0.25558,0.21581,0.81034,0,0.94115,0.94376,0.95999,0.93479,0.94392,0.94686,0.96208,0.89677,0.19036,0.23369,0.23822,0.78295,0,0.000317,0.000317,0.000317
104,15277.1,0.21856,0.2548,0.21391,0.81042,0,0.94105,0.94378,0.95998,0.93481,0.94399,0.94672,0.9614,0.89682,0.1903,0.2336,0.23829,0.78292,0,0.0003005,0.0003005,0.0003005
105,15423.3,0.21563,0.25049,0.21245,0.80901,0,0.94083,0.94371,0.95992,0.93453,0.94386,0.94674,0.96136,0.89683,0.19033,0.23389,0.23815,0.78306,0,0.000284,0.000284,0.000284
106,15569.6,0.21456,0.25196,0.21249,0.80928,0,0.94139,0.94306,0.96002,0.93476,0.94439,0.94607,0.96146,0.89689,0.19024,0.23395,0.2381,0.78309,0,0.0002675,0.0002675,0.0002675
107,15715.9,0.21402,0.25022,0.20929,0.80877,0,0.94133,0.94329,0.95996,0.93468,0.94434,0.9463,0.96137,0.89669,0.19013,0.23404,0.23808,0.78298,0,0.000251,0.000251,0.000251
108,15862.7,0.21205,0.24651,0.20936,0.80883,0,0.94103,0.94345,0.95995,0.9347,0.94403,0.94646,0.96136,0.89692,0.18981,0.23386,0.23818,0.78289,0,0.0002345,0.0002345,0.0002345
109,16008.9,0.2123,0.24734,0.20729,0.80907,0,0.94117,0.94321,0.96002,0.93486,0.94416,0.94619,0.96137,0.89685,0.1896,0.2338,0.23824,0.78292,0,0.000218,0.000218,0.000218
110,16155.3,0.21079,0.24588,0.20631,0.80772,0,0.94081,0.94358,0.95997,0.9347,0.94387,0.94658,0.96139,0.89675,0.18947,0.23391,0.23827,0.78292,0,0.0002015,0.0002015,0.0002015
111,16302.2,0.17442,0.19508,0.16662,0.77784,0,0.94065,0.94356,0.95991,0.93463,0.94393,0.94686,0.96133,0.89675,0.18941,0.23406,0.23819,0.78305,0,0.000185,0.000185,0.000185
112,16447.9,0.17295,0.19314,0.16441,0.77757,0,0.9406,0.9439,0.95982,0.93455,0.94369,0.947,0.96127,0.89653,0.18931,0.23415,0.23812,0.78313,0,0.0001685,0.0001685,0.0001685
113,16593.4,0.17133,0.19212,0.16263,0.77574,0,0.94034,0.94394,0.95977,0.9346,0.94356,0.94718,0.96128,0.8967,0.18916,0.2343,0.23816,0.78311,0,0.000152,0.000152,0.000152
114,16738.9,0.17019,0.19165,0.16143,0.77535,0,0.94048,0.94399,0.95969,0.93442,0.94372,0.94724,0.96119,0.89656,0.18926,0.23447,0.23814,0.78327,0,0.0001355,0.0001355,0.0001355
115,16884.8,0.16891,0.1894,0.15967,0.77591,0,0.94059,0.94407,0.95968,0.93415,0.94374,0.94712,0.96121,0.89646,0.18926,0.23441,0.23828,0.78344,0,0.000119,0.000119,0.000119
116,17031.9,0.16851,0.18908,0.15822,0.77535,0,0.94075,0.94392,0.95964,0.93434,0.944,0.94717,0.96121,0.89644,0.18934,0.23386,0.23818,0.78351,0,0.0001025,0.0001025,0.0001025
117,17179,0.16696,0.18776,0.1564,0.77453,0,0.94082,0.9443,0.95958,0.93423,0.94397,0.94745,0.96113,0.89645,0.18926,0.23396,0.23822,0.78361,0,8.6e-05,8.6e-05,8.6e-05
118,17326,0.16687,0.18737,0.15561,0.77458,0,0.94093,0.94377,0.95959,0.93415,0.94401,0.94714,0.96114,0.89635,0.18923,0.23406,0.23826,0.78371,0,6.95e-05,6.95e-05,6.95e-05
119,17473.3,0.16578,0.18651,0.1544,0.77447,0,0.94138,0.94325,0.95963,0.93391,0.94437,0.94707,0.96117,0.89654,0.18921,0.23432,0.23812,0.78381,0,5.3e-05,5.3e-05,5.3e-05
120,17620.6,0.16541,0.18618,0.15295,0.77517,0,0.94141,0.94338,0.95957,0.93397,0.94451,0.94697,0.96114,0.8965,0.18913,0.23431,0.23813,0.78382,0,3.65e-05,3.65e-05,3.65e-05
